method,query,k,ndcg,precision,recall,f1,overlap
Istari BM25,warehousing companies,1000,0.0554,0.038,0.0644,0.0478,28
Istari BM25,cold storage companies,10,0.5669,0.5,0.005,0.0099,0
Istari BM25,cold storage companies,50,0.4205,0.38,0.019,0.0362,0
Istari BM25,cold storage companies,100,0.3632,0.33,0.033,0.06,2
Istari BM25,cold storage companies,500,0.316,0.3,0.15,0.2,81
Istari BM25,cold storage companies,1000,0.3118,0.3,0.3,0.3,150
Istari BM25,retail technology companies,10,0.0889,0.1,0.0021,0.004,0
Istari BM25,retail technology companies,50,0.1366,0.12,0.0124,0.0224,0
Istari BM25,retail technology companies,100,0.1217,0.1,0.0206,0.0342,0
Istari BM25,retail technology companies,500,0.0806,0.036,0.0371,0.0365,19
Istari BM25,retail technology companies,1000,0.0794,0.036,0.0742,0.0485,38
Istari BM25,point of sale systems providers,10,0.315,0.4,0.004,0.0079,0
Istari BM25,point of sale systems providers,50,0.2784,0.3,0.015,0.0286,0
Istari BM25,point of sale systems providers,100,0.2372,0.24,0.024,0.0436,2
Istari BM25,point of sale systems providers,500,0.249,0.248,0.124,0.1653,74
Istari BM25,point of sale systems providers,1000,0.2508,0.248,0.248,0.248,124
Istari BM25,inventory management software,10,0.2021,0.1,0.001,0.002,0
Istari BM25,inventory management software,50,0.1205,0.08,0.004,0.0076,1
Istari BM25,inventory management software,100,0.1406,0.13,0.013,0.0236,3
Istari BM25,inventory management software,500,0.1172,0.11,0.055,0.0733,38
Istari BM25,inventory management software,1000,0.1157,0.11,0.11,0.11,55
Istari BM25,customer relationship management (CRM) software,10,0.0653,0.1,0.0012,0.0023,0
Istari BM25,customer relationship management (CRM) software,50,0.1224,0.16,0.0095,0.0179,2
Istari BM25,customer relationship management (CRM) software,100,0.1582,0.19,0.0225,0.0403,3
Istari BM25,customer relationship management (CRM) software,500,0.2101,0.204,0.121,0.1519,75
Istari BM25,customer relationship management (CRM) software,1000,0.2188,0.204,0.242,0.2214,113
Istari BM25,enterprise resource planning (ERP) systems,10,0.0,0.0,0.0,0.0,0
Istari BM25,enterprise resource planning (ERP) systems,50,0.0494,0.06,0.003,0.0057,0
Istari BM25,enterprise resource planning (ERP) systems,100,0.0676,0.08,0.008,0.0145,2
Istari BM25,enterprise resource planning (ERP) systems,500,0.0614,0.062,0.031,0.0413,18
Istari BM25,enterprise resource planning (ERP) systems,1000,0.0622,0.062,0.062,0.062,31
Istari BM25,business intelligence (BI) companies,10,0.0643,0.1,0.0012,0.0025,0
Istari BM25,business intelligence (BI) companies,50,0.1669,0.18,0.0112,0.0211,3
Istari BM25,business intelligence (BI) companies,100,0.1705,0.18,0.0224,0.0398,5
Istari BM25,business intelligence (BI) companies,500,0.0974,0.082,0.051,0.0629,32
Istari BM25,business intelligence (BI) companies,1000,0.0967,0.082,0.102,0.0909,46
Istari BM25,IT consulting firms,10,0.0,0.0,0.0,0.0,0
Istari BM25,IT consulting firms,50,0.0,0.0,0.0,0.0,0
Istari BM25,IT consulting firms,100,0.0,0.0,0.0,0.0,0
Istari BM25,IT consulting firms,500,0.0016,0.002,0.001,0.0013,1
Istari BM25,IT consulting firms,1000,0.0018,0.002,0.002,0.002,1
Istari BM25,cybersecurity solutions providers,10,0.0,0.0,0.0,0.0,0
Istari BM25,cybersecurity solutions providers,50,0.0,0.0,0.0,0.0,0
Istari BM25,cybersecurity solutions providers,100,0.0157,0.02,0.002,0.0036,0
Istari BM25,cybersecurity solutions providers,500,0.0219,0.024,0.012,0.016,5
Istari BM25,cybersecurity solutions providers,1000,0.0229,0.024,0.024,0.024,12
Istari BM25,cloud security providers,10,0.0,0.0,0.0,0.0,0
Istari BM25,cloud security providers,50,0.0,0.0,0.0,0.0,0
Istari BM25,cloud security providers,100,0.0,0.0,0.0,0.0,0
Istari BM25,cloud security providers,500,0.0085,0.004,0.0122,0.006,4
Istari BM25,cloud security providers,1000,0.0091,0.004,0.0244,0.0069,5
Istari BM25,managed service providers (MSPs),10,0.0592,0.1,0.0038,0.0074,0
Istari BM25,managed service providers (MSPs),50,0.1271,0.1,0.0192,0.0323,2
Istari BM25,managed service providers (MSPs),100,0.2182,0.13,0.05,0.0722,3
Istari BM25,managed service providers (MSPs),500,0.2219,0.1,0.1923,0.1316,73
Istari BM25,managed service providers (MSPs),1000,0.2283,0.1,0.3846,0.1587,115
Istari BM25,remote monitoring and management (RMM) software,10,0.7738,0.5,0.082,0.1408,2
Istari BM25,remote monitoring and management (RMM) software,50,0.5902,0.26,0.2131,0.2342,13
