tier,query_id,n_companies,index_build_s,query_latency_ms,method
300k,101,300000,12.9257214069,426.9396169111,bm25
300k,56,300000,12.9257214069,321.3984461036,bm25
300k,82,300000,12.9257214069,384.612016147,bm25
300k,91,300000,12.9257214069,430.2803669125,bm25
300k,92,300000,12.9257214069,506.8598708604,bm25
400k,1,397025,14.9992129803,462.2972249053,bm25
400k,2,397025,14.9992129803,398.6109681427,bm25
400k,3,397025,14.9992129803,681.0150828678,bm25
400k,4,397025,14.9992129803,856.4611878246,bm25
400k,5,397025,14.9992129803,971.3370490354,bm25
400k,11,397025,14.9992129803,685.8433508314,bm25
400k,12,397025,14.9992129803,577.8302899562,bm25
400k,15,397025,14.9992129803,931.6273671575,bm25
400k,34,397025,14.9992129803,573.7338089384,bm25
400k,14,397025,14.9992129803,388.8702900149,bm25
400k,27,397025,14.9992129803,452.2104391363,bm25
400k,66,397025,14.9992129803,1128.844215069,bm25
400k,72,397025,14.9992129803,1032.6853471342,bm25
400k,99,397025,14.9992129803,562.5952689443,bm25
400k,101,397025,14.9992129803,589.5010579843,bm25
400k,56,397025,14.9992129803,373.4384428244,bm25
400k,82,397025,14.9992129803,507.376604015,bm25
400k,91,397025,14.9992129803,567.8394970018,bm25
400k,92,397025,14.9992129803,552.5280809961,bm25
100k,1,100000,,92.41527295671403,minilm
100k,2,100000,,76.87581120990217,minilm
100k,3,100000,,75.82049304619431,minilm
100k,4,100000,,75.09090285748243,minilm
100k,5,100000,,75.50217909738421,minilm
100k,11,100000,,75.17858897335827,minilm
100k,12,100000,,76.28281507641077,minilm
100k,15,100000,,76.1751621030271,minilm
100k,34,100000,,75.21711196750402,minilm
100k,14,100000,,75.1869510859251,minilm
100k,27,100000,,78.72067205607891,minilm
100k,66,100000,,76.96592691354454,minilm
100k,72,100000,,75.30470797792077,minilm
100k,99,100000,,76.50907500647008,minilm
100k,101,100000,,75.33892686478794,minilm
100k,56,100000,,75.11591794900596,minilm
100k,82,100000,,75.19585289992392,minilm
100k,91,100000,,75.11386298574507,minilm
100k,92,100000,,75.41285618208349,minilm
200k,1,200000,,152.79587684199214,minilm
200k,2,200000,,151.94967295974493,minilm
200k,3,200000,,154.30676704272628,minilm
200k,4,200000,,152.6486398652196,minilm
200k,5,200000,,156.63234912790358,minilm
200k,11,200000,,153.87870697304606,minilm
200k,12,200000,,152.0678149536252,minilm
200k,15,200000,,152.3363918531686,minilm
200k,34,200000,,152.73989317938685,minilm
