method,query_id,query,k,precision,recall,ndcg
Ministral,83,graphic design studios,100,0.16,0.16,0.18930992470532151
Ministral,83,graphic design studios,1000,0.098,0.98,0.6469969575122265
Ministral,84,video production companies,10,0.1,0.01,0.06362078819895171
Ministral,84,video production companies,50,0.14,0.07,0.12089414198223886
Ministral,84,video production companies,100,0.15,0.15,0.1371347999723212
Ministral,84,video production companies,1000,0.099,0.99,0.5975874411565539
Ministral,85,translation services,10,0.0,0.0,0.0
Ministral,85,translation services,50,0.02,0.01,0.017651958988418856
Ministral,85,translation services,100,0.06,0.06,0.04890120367344411
Ministral,85,translation services,1000,0.099,0.99,0.565227102183135
Ministral,86,legal technology companies,10,0.0,0.0,0.0
Ministral,86,legal technology companies,50,0.12,0.06,0.09486036111992527
Ministral,86,legal technology companies,100,0.11,0.11,0.09620901712954037
Ministral,86,legal technology companies,1000,0.099,0.99,0.5902613882979408
Ministral,87,accounting software providers,10,0.2,0.02,0.17993148201117176
Ministral,87,accounting software providers,50,0.14,0.07,0.14269219477120348
Ministral,87,accounting software providers,100,0.13,0.13,0.13501757316173732
Ministral,87,accounting software providers,1000,0.085,0.85,0.5385500754267872
Ministral,88,tax preparation services,10,0.1,0.01,0.06625422345438903
Ministral,88,tax preparation services,50,0.16,0.08,0.1419713706356187
Ministral,88,tax preparation services,100,0.21,0.21,0.1877477972981502
Ministral,88,tax preparation services,1000,0.096,0.96,0.599541058408925
Ministral,89,payroll processing companies,10,0.4,0.04,0.3282410109263901
Ministral,89,payroll processing companies,50,0.22,0.11,0.23042850637899737
Ministral,89,payroll processing companies,100,0.2,0.2,0.21105553320281273
Ministral,89,payroll processing companies,1000,0.095,0.95,0.64189754834489
Ministral,90,financial planning services,10,0.1,0.01,0.13886244387355454
Ministral,90,financial planning services,50,0.12,0.06,0.12977829891824955
Ministral,90,financial planning services,100,0.08,0.08,0.09581131918242827
Ministral,90,financial planning services,1000,0.071,0.71,0.4426632355754457
Ministral,91,investment management firms,10,0.0,0.0,0.0
Ministral,91,investment management firms,50,0.08,0.04,0.06740879135047723
Ministral,91,investment management firms,100,0.07,0.07,0.06497169640855362
Ministral,91,investment management firms,1000,0.061,0.61,0.36572802471680865
Ministral,92,wealth management firms,10,0.0,0.0,0.0
Ministral,92,wealth management firms,50,0.06,0.03,0.047409313514128686
Ministral,92,wealth management firms,100,0.07,0.07,0.06054056474529593
Ministral,92,wealth management firms,1000,0.058,0.58,0.33854827957677724
Ministral,93,commercial real estate brokers,10,0.2,0.02,0.2082936658103318
Ministral,93,commercial real estate brokers,50,0.16,0.08,0.17864361942378176
Ministral,93,commercial real estate brokers,100,0.16,0.16,0.17019860716547977
Ministral,93,commercial real estate brokers,1000,0.085,0.85,0.5720569276878674
Ministral,94,residential real estate brokers,10,0.2,0.02,0.2082936658103318
Ministral,94,residential real estate brokers,50,0.14,0.07,0.1557948163410463
Ministral,94,residential real estate brokers,100,0.15,0.15,0.15752853957136526
Ministral,94,residential real estate brokers,1000,0.085,0.85,0.5543566762436065
Ministral,95,construction equipment manufacturers,10,0.1,0.01,0.22009176629808017
Ministral,95,construction equipment manufacturers,50,0.24,0.12,0.2529424363076599
Ministral,95,construction equipment manufacturers,100,0.19,0.19,0.2089079829467315
Ministral,95,construction equipment manufacturers,1000,0.093,0.93,0.6296272714136558
Ministral,96,building materials suppliers,10,0.1,0.01,0.07839826897867533
Ministral,96,building materials suppliers,50,0.12,0.06,0.10923561488495268
Ministral,96,building materials suppliers,100,0.17,0.17,0.1517026869027922
Ministral,96,building materials suppliers,1000,0.099,0.99,0.6114147757223037
Ministral,97,renewable energy project developers,10,0.2,0.02,0.1635413866202963
Ministral,97,renewable energy project developers,50,0.12,0.06,0.12109675118926586
Ministral,97,renewable energy project developers,100,0.2,0.2,0.18157532069163324
Ministral,97,renewable energy project developers,1000,0.087,0.87,0.5584943939886259
Ministral,98,sustainable agriculture companies,10,0.0,0.0,0.0
Ministral,98,sustainable agriculture companies,50,0.18,0.09,0.15198402757689625
Ministral,98,sustainable agriculture companies,100,0.17,0.17,0.15437480964037142
Ministral,98,sustainable agriculture companies,1000,0.074,0.74,0.47061665945096237
Ministral,99,vertical farming companies,10,0.2,0.02,0.13568544539116628
Ministral,99,vertical farming companies,50,0.46,0.23,0.38090902232301743
Ministral,99,vertical farming companies,100,0.41,0.41,0.37418819355683064
Ministral,99,vertical farming companies,1000,0.094,0.94,0.6911372129486152
Ministral,100,precision agriculture technology providers,10,0.1,0.01,0.09478836436955078
Ministral,100,precision agriculture technology providers,50,0.38,0.19,0.3311718561276205
Ministral,100,precision agriculture technology providers,100,0.29,0.29,0.28291188478749874
Ministral,100,precision agriculture technology providers,1000,0.099,0.99,0.6817885078183265
Ministral,101,alternative protein manufacturers,10,0.5,0.05,0.3913817611255761
Ministral,101,alternative protein manufacturers,50,0.26,0.13,0.2730919268076683
Ministral,101,alternative protein manufacturers,100,0.22,0.22,0.2387047154733074
Ministral,101,alternative protein manufacturers,1000,0.098,0.98,0.684270663908998
