method,query_id,query,k,precision,recall,ndcg
Llama,57,transportation companies,10,0.1,0.01,0.08514311764162098
Llama,57,transportation companies,50,0.14,0.07,0.12843983356631897
Llama,57,transportation companies,100,0.11,0.11,0.10939908366046674
Llama,57,transportation companies,1000,0.059,0.59,0.36942168248547474
Llama,58,shipping companies,10,0.1,0.01,0.06943122193677727
Llama,58,shipping companies,50,0.1,0.05,0.09059255012990362
Llama,58,shipping companies,100,0.1,0.1,0.09266159909975262
Llama,58,shipping companies,1000,0.06,0.6,0.3806752059502991
Llama,59,trucking companies,10,0.1,0.01,0.06625422345438903
Llama,59,trucking companies,50,0.14,0.07,0.12093781199131463
Llama,59,trucking companies,100,0.14,0.14,0.12711646593053672
Llama,59,trucking companies,1000,0.083,0.83,0.5061628510164314
Llama,60,freight forwarding companies,10,0.0,0.0,0.0
Llama,60,freight forwarding companies,50,0.1,0.05,0.07990801758181663
Llama,60,freight forwarding companies,100,0.08,0.08,0.07200153823245695
Llama,60,freight forwarding companies,1000,0.077,0.77,0.45132109185293445
Llama,61,warehousing companies,10,0.2,0.02,0.1884441521277154
Llama,61,warehousing companies,50,0.22,0.11,0.2084700177174894
Llama,61,warehousing companies,100,0.18,0.18,0.1814997139060963
Llama,61,warehousing companies,1000,0.083,0.83,0.5508262625737408
Llama,62,cold storage companies,10,0.1,0.01,0.07336392209936005
Llama,62,cold storage companies,50,0.2,0.1,0.17219938214295388
Llama,62,cold storage companies,100,0.14,0.14,0.13739836978293615
Llama,62,cold storage companies,1000,0.093,0.93,0.5819440766676562
Llama,63,retail technology companies,10,0.3,0.03,0.2032389337527008
Llama,63,retail technology companies,50,0.16,0.08,0.1595254897041359
Llama,63,retail technology companies,100,0.13,0.13,0.13729770613605924
Llama,63,retail technology companies,1000,0.084,0.84,0.5320813035751694
Llama,64,point of sale systems providers,10,0.0,0.0,0.0
Llama,64,point of sale systems providers,50,0.08,0.04,0.0679800728728541
Llama,64,point of sale systems providers,100,0.12,0.12,0.10498843409716035
Llama,64,point of sale systems providers,1000,0.095,0.95,0.5751206212740799
Llama,65,inventory management software,10,0.6,0.06,0.615406227586239
Llama,65,inventory management software,50,0.44,0.22,0.4781858769343926
Llama,65,inventory management software,100,0.38,0.38,0.4192777483543201
Llama,65,inventory management software,1000,0.093,0.93,0.7525489688458091
Llama,66,customer relationship management (CRM) software,10,0.1,0.01,0.06362078819895171
Llama,66,customer relationship management (CRM) software,50,0.3,0.15,0.25248410657384557
Llama,66,customer relationship management (CRM) software,100,0.24,0.24,0.22437140110239215
Llama,66,customer relationship management (CRM) software,1000,0.098,0.98,0.6520261730188898
Llama,67,enterprise resource planning (ERP) systems,10,0.2,0.02,0.2984900352767555
Llama,67,enterprise resource planning (ERP) systems,50,0.18,0.09,0.21658616034222353
Llama,67,enterprise resource planning (ERP) systems,100,0.11,0.11,0.14880339858745534
Llama,67,enterprise resource planning (ERP) systems,1000,0.065,0.65,0.45920278149237476
Llama,68,business intelligence (BI) companies,10,0.1,0.01,0.13886244387355454
Llama,68,business intelligence (BI) companies,50,0.24,0.12,0.2283903783158177
Llama,68,business intelligence (BI) companies,100,0.19,0.19,0.19634304630489877
Llama,68,business intelligence (BI) companies,1000,0.09,0.9,0.6134042677969087
Llama,69,IT consulting firms,10,0.0,0.0,0.0
Llama,69,IT consulting firms,50,0.04,0.02,0.033055207834460434
Llama,69,IT consulting firms,100,0.06,0.06,0.05158926655543479
Llama,69,IT consulting firms,1000,0.054,0.54,0.3168364588266275
Llama,70,cybersecurity solutions providers,10,0.3,0.03,0.37850091886658266
Llama,70,cybersecurity solutions providers,50,0.1,0.05,0.16609315150943127
Llama,70,cybersecurity solutions providers,100,0.09,0.09,0.13307437820675153
Llama,70,cybersecurity solutions providers,1000,0.059,0.59,0.4030813410340206
Llama,71,cloud security providers,10,0.4,0.04,0.31017134364653787
Llama,71,cloud security providers,50,0.32,0.16,0.3161459966248774
Llama,71,cloud security providers,100,0.22,0.22,0.24225429004926224
