method,query,k,ndcg,precision,recall,f1,overlap
API Native,legal technology companies,44,0.9942,1.0,0.044,0.0843,28
API Native,accounting software providers,10,0.9943,1.0,0.0128,0.0253,6
API Native,accounting software providers,30,0.9923,1.0,0.0385,0.0741,15
API Native,accounting software providers,44,0.992,1.0,0.0564,0.1068,21
API Native,tax preparation services,10,0.9958,1.0,0.01,0.0198,4
API Native,tax preparation services,30,0.9942,1.0,0.03,0.0583,16
API Native,tax preparation services,44,0.9929,1.0,0.044,0.0843,21
API Native,payroll processing companies,10,0.9948,1.0,0.01,0.0198,5
API Native,payroll processing companies,30,0.9945,1.0,0.03,0.0583,16
API Native,payroll processing companies,44,0.9944,1.0,0.044,0.0843,26
API Native,financial planning services,10,0.9923,1.0,0.01,0.0198,5
API Native,financial planning services,30,0.9935,1.0,0.03,0.0583,16
API Native,financial planning services,44,0.9942,1.0,0.044,0.0843,23
API Native,investment management firms,10,0.998,1.0,0.01,0.0198,7
API Native,investment management firms,30,0.9964,1.0,0.03,0.0583,22
API Native,investment management firms,44,0.9947,1.0,0.044,0.0843,28
API Native,wealth management firms,10,0.9946,1.0,0.01,0.0198,2
API Native,wealth management firms,30,0.9934,1.0,0.03,0.0583,13
API Native,wealth management firms,44,0.9757,0.9773,0.043,0.0824,19
API Native,commercial real estate brokers,10,0.9977,1.0,0.01,0.0198,6
API Native,commercial real estate brokers,30,0.9964,1.0,0.03,0.0583,20
API Native,commercial real estate brokers,44,0.9961,1.0,0.044,0.0843,29
API Native,residential real estate brokers,10,0.9968,1.0,0.01,0.0198,6
API Native,residential real estate brokers,30,0.997,1.0,0.03,0.0583,19
API Native,residential real estate brokers,44,0.9965,1.0,0.044,0.0843,25
API Native,construction equipment manufacturers,10,0.9898,1.0,0.01,0.0198,3
API Native,construction equipment manufacturers,30,0.9901,1.0,0.03,0.0583,10
API Native,construction equipment manufacturers,44,0.9904,1.0,0.044,0.0843,18
API Native,building materials suppliers,10,0.9879,1.0,0.01,0.0198,2
API Native,building materials suppliers,30,0.9851,1.0,0.03,0.0583,6
API Native,building materials suppliers,44,0.9852,1.0,0.044,0.0843,10
API Native,renewable energy project developers,10,0.9913,1.0,0.01,0.0198,6
API Native,renewable energy project developers,30,0.9964,1.0,0.03,0.0583,25
API Native,renewable energy project developers,44,0.9964,1.0,0.044,0.0843,33
API Native,sustainable agriculture companies,10,0.9908,0.7,0.1129,0.1944,6
API Native,sustainable agriculture companies,30,0.9902,0.6667,0.3226,0.4348,16
API Native,sustainable agriculture companies,44,0.9736,0.4773,0.3387,0.3962,18
API Native,vertical farming companies,10,0.9945,1.0,0.1,0.1818,7
API Native,vertical farming companies,30,0.9965,1.0,0.3,0.4615,21
API Native,vertical farming companies,44,0.9954,0.9773,0.43,0.5972,33
API Native,precision agriculture technology providers,10,0.994,1.0,0.0202,0.0397,6
API Native,precision agriculture technology providers,30,0.9923,1.0,0.0607,0.1145,16
API Native,precision agriculture technology providers,44,0.9923,1.0,0.0891,0.1636,25
API Native,alternative protein manufacturers,10,0.9969,1.0,0.2439,0.3922,8
API Native,alternative protein manufacturers,30,0.9931,0.7,0.5122,0.5915,18
API Native,alternative protein manufacturers,44,0.9925,0.6136,0.6585,0.6353,29
MiniLM Reranked,software companies,10,0.4192,0.1,0.0455,0.0625,1
MiniLM Reranked,software companies,30,0.5738,0.1333,0.1818,0.1538,4
MiniLM Reranked,software companies,44,0.5862,0.0909,0.1818,0.1212,6
MiniLM Reranked,healthcare providers,10,0.8758,0.1,0.0256,0.0408,0
MiniLM Reranked,healthcare providers,30,0.8777,0.2,0.1538,0.1739,6
MiniLM Reranked,healthcare providers,44,0.8086,0.1591,0.1795,0.1687,8
MiniLM Reranked,AI startups in Berlin,10,0.8997,0.5,0.122,0.1961,3
MiniLM Reranked,AI startups in Berlin,30,0.8355,0.2667,0.1951,0.2254,8
MiniLM Reranked,AI startups in Berlin,44,0.8026,0.1818,0.1951,0.1882,8
MiniLM Reranked,renewable energy companies in Germany,10,0.9572,0.9,0.0131,0.0258,0
MiniLM Reranked,renewable energy companies in Germany,30,0.9169,0.8667,0.0378,0.0725,4
MiniLM Reranked,renewable energy companies in Germany,44,0.9328,0.9091,0.0582,0.1094,11
MiniLM Reranked,companies providing cloud migration services,10,0.9528,0.9,0.0282,0.0547,0
MiniLM Reranked,companies providing cloud migration services,30,0.963,0.8333,0.0784,0.1433,3
MiniLM Reranked,companies providing cloud migration services,44,0.966,0.7955,0.1097,0.1928,8
MiniLM Reranked,B2B SaaS platforms,10,0.9645,1.0,0.0339,0.0656,2
MiniLM Reranked,B2B SaaS platforms,30,0.9686,0.9333,0.0949,0.1723,5
MiniLM Reranked,B2B SaaS platforms,44,0.9719,0.8636,0.1288,0.2242,8
MiniLM Reranked,machine learning companies,10,0.9796,0.2,0.4,0.2667,4
MiniLM Reranked,machine learning companies,30,0.9378,0.1,0.6,0.1714,10
MiniLM Reranked,machine learning companies,44,0.9322,0.0682,0.6,0.1224,17
MiniLM Reranked,IoT solution providers,10,0.9689,1.0,0.01,0.0198,1
MiniLM Reranked,IoT solution providers,30,0.9487,0.9667,0.029,0.0563,4
MiniLM Reranked,IoT solution providers,44,0.9247,0.9318,0.041,0.0785,6
MiniLM Reranked,enterprise software vendors,10,0.9679,1.0,0.01,0.0198,0
MiniLM Reranked,enterprise software vendors,30,0.9222,0.9333,0.028,0.0544,5
MiniLM Reranked,enterprise software vendors,44,0.939,0.9545,0.042,0.0805,20
MiniLM Reranked,small consulting firms,10,0.6921,0.1,0.0238,0.0385,0
MiniLM Reranked,small consulting firms,30,0.7091,0.1,0.0714,0.0833,3
MiniLM Reranked,small consulting firms,44,0.7238,0.0909,0.0952,0.093,4
MiniLM Reranked,tech companies in Munich,10,0.6722,0.1,0.025,0.04,0
MiniLM Reranked,tech companies in Munich,30,0.7724,0.2333,0.175,0.2,6
MiniLM Reranked,tech companies in Munich,44,0.7845,0.2045,0.225,0.2143,9
MiniLM Reranked,manufacturing in Baden-Württemberg,10,0.9302,0.2,0.0364,0.0615,2
MiniLM Reranked,manufacturing in Baden-Württemberg,30,0.799,0.1,0.0545,0.0706,2
MiniLM Reranked,manufacturing in Baden-Württemberg,44,0.8067,0.1591,0.1273,0.1414,5
MiniLM Reranked,e-commerce platforms,10,0.4783,0.6,0.006,0.0119,0
MiniLM Reranked,e-commerce platforms,30,0.6783,0.8,0.024,0.0466,0
MiniLM Reranked,e-commerce platforms,44,0.7156,0.8182,0.036,0.069,0
MiniLM Reranked,pharmaceutical companies,10,0.7382,0.7,0.007,0.0139,1
MiniLM Reranked,pharmaceutical companies,30,0.6188,0.5667,0.017,0.033,2
MiniLM Reranked,pharmaceutical companies,44,0.6217,0.5909,0.026,0.0498,6
MiniLM Reranked,logistics companies in the US,10,0.8913,0.9,0.0133,0.0261,1
MiniLM Reranked,logistics companies in the US,30,0.7654,0.6667,0.0295,0.0564,6
MiniLM Reranked,logistics companies in the US,44,0.7201,0.6136,0.0398,0.0747,8
MiniLM Reranked,data analytics companies,10,0.9665,1.0,0.01,0.0198,0
MiniLM Reranked,data analytics companies,30,0.9677,1.0,0.03,0.0583,3
MiniLM Reranked,data analytics companies,44,0.9551,0.9773,0.043,0.0824,5
MiniLM Reranked,cybersecurity firms,10,0.8351,0.8,0.008,0.0158,0
MiniLM Reranked,cybersecurity firms,30,0.8041,0.8,0.024,0.0466,2
MiniLM Reranked,cybersecurity firms,44,0.7975,0.7955,0.035,0.067,5
MiniLM Reranked,financial services companies,10,0.9689,1.0,0.01,0.0198,1
MiniLM Reranked,financial services companies,30,0.9287,0.9333,0.028,0.0544,3
MiniLM Reranked,financial services companies,44,0.9101,0.9091,0.04,0.0766,6
MiniLM Reranked,retail chains in Europe,10,0.9669,0.7,0.1186,0.2029,2
MiniLM Reranked,retail chains in Europe,30,0.9426,0.3,0.1525,0.2022,6
MiniLM Reranked,retail chains in Europe,44,0.9496,0.25,0.1864,0.2136,10
MiniLM Reranked,construction companies,10,0.8152,0.8,0.008,0.0158,0
MiniLM Reranked,construction companies,30,0.7381,0.7,0.021,0.0408,0
MiniLM Reranked,construction companies,44,0.7159,0.6818,0.03,0.0575,2
MiniLM Reranked,marketing agencies,10,0.6839,0.8,0.008,0.0158,0
MiniLM Reranked,marketing agencies,30,0.5605,0.5667,0.017,0.033,1
MiniLM Reranked,marketing agencies,44,0.6084,0.6364,0.028,0.0536,2
MiniLM Reranked,human resources software,10,0.9631,1.0,0.01,0.0198,0
MiniLM Reranked,human resources software,30,0.9735,1.0,0.03,0.0583,3
MiniLM Reranked,human resources software,44,0.9761,1.0,0.044,0.0843,8
MiniLM Reranked,supply chain management companies,10,0.9675,0.9,0.0206,0.0403,1
