config,query_id,k,precision,recall,f1,ndcg
Exact (FlatL2),69,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),69,50,0.98,0.049,0.09333333333333334,0.9860416298881255
Exact (FlatL2),69,100,0.96,0.096,0.17454545454545453,0.9680407876937727
Exact (FlatL2),69,500,0.876,0.438,0.584,0.8907578355373054
Exact (FlatL2),69,1000,0.729,0.729,0.729,0.7607895611269567
Exact (FlatL2),70,10,0.5,0.005,0.009900990099009901,0.5621931439243354
Exact (FlatL2),70,50,0.66,0.033,0.06285714285714285,0.6583280652191464
Exact (FlatL2),70,100,0.66,0.066,0.12000000000000001,0.6599187790624709
Exact (FlatL2),70,500,0.53,0.265,0.3533333333333334,0.5442010542556006
Exact (FlatL2),70,1000,0.461,0.461,0.461,0.4794422698706029
Exact (FlatL2),71,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),71,50,0.88,0.044,0.0838095238095238,0.9110990996371334
Exact (FlatL2),71,100,0.81,0.081,0.14727272727272728,0.8463102125423906
Exact (FlatL2),71,500,0.442,0.221,0.2946666666666667,0.5081000170089891
Exact (FlatL2),71,1000,0.283,0.283,0.283,0.34410014643119496
Exact (FlatL2),72,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),72,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),72,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),72,500,0.972,0.486,0.648,0.9767421448495816
Exact (FlatL2),72,1000,0.776,0.776,0.776,0.8098650011387364
Exact (FlatL2),73,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),73,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),73,100,0.95,0.095,0.17272727272727273,0.9617487305915677
Exact (FlatL2),73,500,0.746,0.373,0.49733333333333335,0.7801969985763831
Exact (FlatL2),73,1000,0.544,0.544,0.544,0.5938490886624597
Exact (FlatL2),74,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),74,50,0.98,0.049,0.09333333333333334,0.9841991571851231
Exact (FlatL2),74,100,0.96,0.096,0.17454545454545453,0.9665071882576034
Exact (FlatL2),74,500,0.922,0.461,0.6146666666666667,0.9319640007353384
Exact (FlatL2),74,1000,0.739,0.739,0.739,0.7731979920833905
Exact (FlatL2),75,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),75,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),75,100,0.99,0.099,0.18,0.992763764552231
