tier,M,ef_construction,ef_search,query_id,k,query_latency_ms,index_build_s,precision,recall,ndcg
100k,16,40,50,11,10,0.360237987479195,16.684499502182007,0.2,0.06060606060606061,0.22400556151517553
100k,16,40,50,11,50,0.360237987479195,16.684499502182007,0.12,0.18181818181818182,0.18954467453216567
100k,16,40,50,11,100,0.360237987479195,16.684499502182007,0.11,0.3333333333333333,0.26820154996089784
100k,16,40,50,11,300,0.360237987479195,16.684499502182007,0.06,0.5454545454545454,0.3667861721735896
100k,16,40,50,11,500,0.360237987479195,16.684499502182007,0.038,0.5757575757575758,0.3786097234424736
100k,16,40,50,11,1000,0.360237987479195,16.684499502182007,0.019,0.5757575757575758,0.3786097234424736
100k,16,40,50,12,10,0.32504601404070854,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,12,50,0.32504601404070854,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,12,100,0.32504601404070854,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,12,300,0.32504601404070854,16.684499502182007,0.006666666666666667,0.15384615384615385,0.050925784541927664
100k,16,40,50,12,500,0.32504601404070854,16.684499502182007,0.006,0.23076923076923078,0.07331560748367863
100k,16,40,50,12,1000,0.32504601404070854,16.684499502182007,0.003,0.23076923076923078,0.07331560748367863
100k,16,40,50,15,10,0.4036739992443472,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,15,50,0.4036739992443472,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,15,100,0.4036739992443472,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,15,300,0.4036739992443472,16.684499502182007,0.016666666666666666,0.13157894736842105,0.06243259745339503
100k,16,40,50,15,500,0.4036739992443472,16.684499502182007,0.02,0.2631578947368421,0.11684653498004682
100k,16,40,50,15,1000,0.4036739992443472,16.684499502182007,0.011,0.2894736842105263,0.1269816594396416
100k,16,40,50,34,10,0.3389639896340668,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,34,50,0.3389639896340668,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,34,100,0.3389639896340668,16.684499502182007,0.02,0.05714285714285714,0.03367083312192427
100k,16,40,50,34,300,0.3389639896340668,16.684499502182007,0.03,0.2571428571428571,0.12449471661896254
100k,16,40,50,34,500,0.3389639896340668,16.684499502182007,0.026,0.37142857142857144,0.17051233969612514
100k,16,40,50,34,1000,0.3389639896340668,16.684499502182007,0.014,0.4,0.18149261210645573
100k,16,40,50,14,10,0.30012099887244403,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,14,50,0.30012099887244403,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,14,100,0.30012099887244403,16.684499502182007,0.01,0.021739130434782608,0.012639528801147775
100k,16,40,50,14,300,0.30012099887244403,16.684499502182007,0.023333333333333334,0.15217391304347827,0.07506340137851392
100k,16,40,50,14,500,0.30012099887244403,16.684499502182007,0.018,0.1956521739130435,0.09453828921948015
100k,16,40,50,14,1000,0.30012099887244403,16.684499502182007,0.009,0.1956521739130435,0.09453828921948015
100k,16,40,50,27,10,0.309381983242929,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,27,50,0.309381983242929,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,27,100,0.309381983242929,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,27,300,0.309381983242929,16.684499502182007,0.01,0.09090909090909091,0.04091181612745526
100k,16,40,50,27,500,0.309381983242929,16.684499502182007,0.012,0.18181818181818182,0.07746190376788996
