tier,M,ef_construction,ef_search,k,recall,ndcg,query_latency_ms
200k,16,40,1000,50,0.13010690425103164,0.16611678468828842,2.059921841320925
200k,16,40,1000,100,0.17003038687469124,0.15797625320886302,2.059921841320925
200k,16,40,1000,300,0.3184705991491864,0.23353472926901744,2.059921841320925
200k,16,40,1000,500,0.43485903551452343,0.2857174008378367,2.059921841320925
200k,16,40,1000,1000,0.7050576978996113,0.391255346553595,2.059921841320925
200k,32,200,10,10,0.043763206066009266,0.21885951608039422,0.27732999909571127
200k,32,200,10,50,0.12151489285480578,0.1502193428033618,0.27732999909571127
200k,32,200,10,100,0.1640543689361321,0.14795712674950093,0.27732999909571127
200k,32,200,10,300,0.2755319147981714,0.20337824331084786,0.27732999909571127
200k,32,200,10,500,0.2821753691148207,0.20650678319654256,0.27732999909571127
200k,32,200,10,1000,0.2821753691148207,0.20650678319654256,0.27732999909571127
200k,32,200,50,10,0.04448418659953486,0.22185298658228927,0.5647618412407801
200k,32,200,50,50,0.12599008129153916,0.1619988486261963,0.5647618412407801
200k,32,200,50,100,0.1679144802633174,0.1558056330418724,0.5647618412407801
200k,32,200,50,300,0.3067897932527936,0.22697799300790747,0.5647618412407801
200k,32,200,50,500,0.416737307278257,0.27399773763428376,0.5647618412407801
200k,32,200,50,1000,0.5169074917052082,0.31495444930462574,0.5647618412407801
200k,32,200,100,10,0.04448418659953486,0.22185298658228927,0.8347833155360269
200k,32,200,100,50,0.12824175895778062,0.16442905897297996,0.8347833155360269
200k,32,200,100,100,0.16601534940228474,0.15508016211517392,0.8347833155360269
200k,32,200,100,300,0.3173686657831944,0.2324427219421439,0.8347833155360269
200k,32,200,100,500,0.4313755275867381,0.28252862719546346,0.8347833155360269
200k,32,200,100,1000,0.6395511422768498,0.3646549069045497,0.8347833155360269
200k,32,200,200,10,0.04448418659953486,0.22185298658228927,1.2504438912544988
200k,32,200,200,50,0.12938592371750604,0.16520654760610967,1.2504438912544988
200k,32,200,200,100,0.16869021129472603,0.1568498548966583,1.2504438912544988
200k,32,200,200,300,0.31290453543942487,0.23065045162763662,1.2504438912544988
200k,32,200,200,500,0.43597825498487647,0.2848351038121608,1.2504438912544988
200k,32,200,200,1000,0.7054334588835982,0.3905805794399937,1.2504438912544988
200k,32,200,500,10,0.04448418659953486,0.22185298658228927,2.183873212504152
200k,32,200,500,50,0.12938592371750604,0.16520654760610967,2.183873212504152
200k,32,200,500,100,0.16869021129472603,0.15684167401824048,2.183873212504152
200k,32,200,500,300,0.31704812404250077,0.23256031336004435,2.183873212504152
200k,32,200,500,500,0.43271557987431225,0.2843927594134264,2.183873212504152
200k,32,200,500,1000,0.7023382259902464,0.38996314510611235,2.183873212504152
200k,32,200,1000,10,0.04448418659953486,0.22185298658228927,3.6024308907431797
200k,32,200,1000,50,0.13010690425103164,0.16611678468828842,3.6024308907431797
200k,32,200,1000,100,0.16941119182825162,0.15753445596212048,3.6024308907431797
200k,32,200,1000,300,0.3177691045760264,0.2332390150261526,3.6024308907431797
200k,32,200,1000,500,0.4328173653613982,0.2847485287820148,3.6024308907431797
200k,32,200,1000,1000,0.7031609920108579,0.39071855913693054,3.6024308907431797
300k,16,40,10,10,0.041728180366541856,0.20759195216619203,0.20313226789432137
300k,16,40,10,50,0.09410820262345414,0.13100288333394508,0.20313226789432137
300k,16,40,10,100,0.13924354472629033,0.13262845219936126,0.20313226789432137
300k,16,40,10,300,0.1810814345564249,0.1555484094856218,0.20313226789432137
300k,16,40,10,500,0.1810814345564249,0.1555484094856218,0.20313226789432137
300k,16,40,10,1000,0.1810814345564249,0.1555484094856218,0.20313226789432137
300k,16,40,50,10,0.04448418659953486,0.22185298658228927,0.36314841494650435
300k,16,40,50,50,0.11930113088117066,0.15270481806722686,0.36314841494650435
300k,16,40,50,100,0.1671408209314416,0.1509387429845359,0.36314841494650435
