method,query,k,ndcg,precision,recall,overlap
Istari BM25,content management systems (CMS),500,0.1271,0.116,0.058,43
Istari BM25,content management systems (CMS),1000,0.1245,0.116,0.116,58
Istari BM25,e-learning platforms,10,0.5165,0.5,0.005,0
Istari BM25,e-learning platforms,50,0.3034,0.26,0.013,2
Istari BM25,e-learning platforms,100,0.2559,0.22,0.022,4
Istari BM25,e-learning platforms,500,0.1791,0.16,0.08,45
Istari BM25,e-learning platforms,1000,0.1726,0.16,0.16,80
Istari BM25,online marketing agencies,10,0.0,0.0,0.0,0
Istari BM25,online marketing agencies,50,0.0,0.0,0.0,0
Istari BM25,online marketing agencies,100,0.007,0.01,0.001,0
Istari BM25,online marketing agencies,500,0.0073,0.008,0.004,4
Istari BM25,online marketing agencies,1000,0.0077,0.008,0.008,4
Istari BM25,lead generation companies,10,0.1026,0.1,0.001,0
Istari BM25,lead generation companies,50,0.1848,0.22,0.011,3
Istari BM25,lead generation companies,100,0.2464,0.29,0.029,7
Istari BM25,lead generation companies,500,0.1889,0.188,0.094,46
Istari BM25,lead generation companies,1000,0.1906,0.188,0.188,94
Istari BM25,market research firms,10,0.1331,0.1,0.001,0
Istari BM25,market research firms,50,0.1892,0.2,0.01,0
Istari BM25,market research firms,100,0.1684,0.17,0.017,0
Istari BM25,market research firms,500,0.1429,0.142,0.071,36
Istari BM25,market research firms,1000,0.1429,0.142,0.142,71
Istari BM25,public relations agencies,10,0.2333,0.2,0.002,0
Istari BM25,public relations agencies,50,0.159,0.14,0.007,0
Istari BM25,public relations agencies,100,0.1291,0.11,0.011,0
Istari BM25,public relations agencies,500,0.0959,0.088,0.044,20
Istari BM25,public relations agencies,1000,0.093,0.088,0.088,44
Istari BM25,graphic design studios,10,0.0,0.0,0.0,0
Istari BM25,graphic design studios,50,0.0,0.0,0.0,0
Istari BM25,graphic design studios,100,0.0075,0.01,0.001,0
Istari BM25,graphic design studios,500,0.0072,0.008,0.004,2
Istari BM25,graphic design studios,1000,0.0075,0.008,0.008,4
Istari BM25,video production companies,10,0.0,0.0,0.0,0
Istari BM25,video production companies,50,0.0,0.0,0.0,0
Istari BM25,video production companies,100,0.0,0.0,0.0,0
Istari BM25,video production companies,500,0.0099,0.012,0.006,2
Istari BM25,video production companies,1000,0.0107,0.012,0.012,6
