query_id,k,precision,recall,f1,ndcg
44,100,0.92,0.092,0.1672727272727273,0.9330597365945396
44,300,0.94,0.282,0.4338461538461538,0.943362459350524
44,500,0.908,0.454,0.6053333333333334,0.9161302559824456
44,1000,0.845,0.845,0.845,0.8601549403523312
45,10,1.0,0.01,0.019801980198019802,1.0
45,50,0.96,0.048,0.09142857142857141,0.9638916945837854
45,100,0.98,0.098,0.17818181818181816,0.9777581263695316
45,300,0.98,0.294,0.4523076923076923,0.9794754297182638
45,500,0.976,0.488,0.6506666666666666,0.9764904643070743
45,1000,0.911,0.911,0.911,0.922331961170377
46,10,1.0,0.01,0.019801980198019802,1.0
46,50,1.0,0.05,0.09523809523809523,1.0
46,100,1.0,0.1,0.18181818181818182,1.0
46,300,1.0,0.3,0.4615384615384615,1.0
46,500,1.0,0.5,0.6666666666666666,1.0
46,1000,0.983,0.983,0.983,0.9860041726610953
47,10,1.0,0.01,0.019801980198019802,1.0
47,50,1.0,0.05,0.09523809523809523,1.0
47,100,1.0,0.1,0.18181818181818182,1.0
47,300,0.9966666666666667,0.299,0.45999999999999996,0.9971578634006357
47,500,0.998,0.499,0.6653333333333333,0.9980915064420319
47,1000,0.979,0.979,0.979,0.9823334100215102
48,10,1.0,0.01,0.019801980198019802,1.0
48,50,0.98,0.049,0.09333333333333334,0.9836940396642968
48,100,0.99,0.099,0.18,0.9899559088960382
48,300,0.9933333333333333,0.298,0.4584615384615384,0.9924364820358688
48,500,0.986,0.493,0.6573333333333332,0.9868995111003261
48,1000,0.916,0.916,0.916,0.9281036238766402
49,10,1.0,0.01,0.019801980198019802,1.0
49,50,1.0,0.05,0.09523809523809523,1.0
49,100,1.0,0.1,0.18181818181818182,1.0
49,300,1.0,0.3,0.4615384615384615,1.0
49,500,0.998,0.499,0.6653333333333333,0.9983077120340393
49,1000,0.977,0.977,0.977,0.9809449191087144
50,10,1.0,0.01,0.019801980198019802,1.0
50,50,1.0,0.05,0.09523809523809523,1.0
50,100,1.0,0.1,0.18181818181818182,1.0
50,300,1.0,0.3,0.4615384615384615,1.0
50,500,1.0,0.5,0.6666666666666666,1.0
50,1000,0.969,0.969,0.969,0.9745397293305411
51,10,1.0,0.01,0.019801980198019802,1.0
51,50,1.0,0.05,0.09523809523809523,1.0
51,100,1.0,0.1,0.18181818181818182,1.0
51,300,1.0,0.3,0.4615384615384615,1.0
51,500,1.0,0.5,0.6666666666666666,1.0
51,1000,0.981,0.981,0.9810000000000001,0.9844310347966445
52,10,1.0,0.01,0.019801980198019802,1.0
52,50,1.0,0.05,0.09523809523809523,1.0
52,100,1.0,0.1,0.18181818181818182,1.0
52,300,0.9933333333333333,0.298,0.4584615384615384,0.9946322461819957
52,500,0.97,0.485,0.6466666666666666,0.9753630453378617
52,1000,0.846,0.846,0.8459999999999999,0.8690947667664792
53,10,1.0,0.01,0.019801980198019802,1.0
53,50,1.0,0.05,0.09523809523809523,1.0
53,100,1.0,0.1,0.18181818181818182,1.0
53,300,1.0,0.3,0.4615384615384615,1.0
53,500,0.998,0.499,0.6653333333333333,0.9983519625484357
53,1000,0.991,0.991,0.991,0.9924597016670521
54,10,1.0,0.01,0.019801980198019802,1.0
54,50,1.0,0.05,0.09523809523809523,1.0
54,100,1.0,0.1,0.18181818181818182,1.0
54,300,1.0,0.3,0.4615384615384615,1.0
54,500,1.0,0.5,0.6666666666666666,1.0
54,1000,0.997,0.997,0.997,0.9975540671739324
55,10,1.0,0.01,0.019801980198019802,1.0
55,50,1.0,0.05,0.09523809523809523,1.0
55,100,0.99,0.099,0.18,0.9920698096257918
55,300,0.9933333333333333,0.298,0.4584615384615384,0.9934702953732326
55,500,0.986,0.493,0.6573333333333332,0.98730206848229
55,1000,0.926,0.926,0.926,0.937048959097865
56,10,1.0,0.01,0.019801980198019802,1.0
56,50,1.0,0.05,0.09523809523809523,1.0
56,100,1.0,0.1,0.18181818181818182,1.0
56,300,0.9666666666666667,0.29,0.4461538461538462,0.9720481351191651
56,500,0.932,0.466,0.6213333333333333,0.9416061800742263
56,1000,0.805,0.805,0.805,0.8305138370293547
57,10,0.3,0.003,0.005940594059405941,0.3436966913921454
57,50,0.54,0.027,0.05142857142857143,0.5141597524736886
57,100,0.49,0.049,0.08909090909090908,0.48739094529524635
57,300,0.56,0.168,0.25846153846153846,0.5460994070087755
57,500,0.528,0.264,0.35200000000000004,0.5245006968856151
57,1000,0.501,0.501,0.501,0.5026565158390306
